ctx,category,n_hours,nocov_mape,cov_mape,delta_pp,delta_pct
720,overall,8784,1.8664113440306933,1.87883145699227,0.012420112961576635,0.6654542151867882
720,normal,5688,1.5512423904054142,1.6065487823551197,0.055306391949705436,3.5652965836790482
720,holiday,264,7.545858906252019,5.569723074446122,-1.9761358318058972,-26.188348554577356
720,carnaval,48,5.820512120809432,5.656758927916006,-0.1637531928934255,-2.813381185273661
720,day_before,264,2.1426997041135754,2.128918202311497,-0.013781501802078377,-0.6431840064018546
720,day_after,264,2.2979421617449995,2.422547253256184,0.12460509151118426,5.4224642197505215
720,bridge,24,3.995885652889767,6.481906498545287,2.48602084565552,62.21451416803345
1440,overall,8784,1.8107098936644768,1.7725182189004527,-0.038191674764024075,-2.1092100340122713
1440,normal,5688,1.4887215679368575,1.540294516233247,0.05157294829638959,3.464244047183509
1440,holiday,264,7.252243574962174,4.999861497425052,-2.2523820775371215,-31.057727919030484
1440,carnaval,48,5.466862147137464,5.868568853371375,0.40170670623391125,7.348030651262192
1440,day_before,264,2.2630292450422296,2.223535330935212,-0.039493914107017414,-1.7451791307398872
1440,day_after,264,2.1340622050294114,2.102240788469755,-0.031821416559656424,-1.491119447439812
1440,bridge,24,2.734557977528722,7.240369000196897,4.5058110226681745,164.77291978062834
2880,overall,8784,1.8004702061149975,1.737584721806654,-0.06288548430834351,-3.4927256277145506
2880,normal,5688,1.4835872886657961,1.5173043104060995,0.03371702174030333,2.2726685512805496
2880,holiday,264,7.190393122439705,4.672847688121134,-2.5175454343185706,-35.01262575563276
2880,carnaval,48,5.697689197222643,5.76907386712639,0.07138466990374681,1.2528705486172096
2880,day_before,264,2.3425788455259404,2.271862715328558,-0.07071613019738221,-3.018729992053074
2880,day_after,264,2.1383380096947504,1.9245204336466284,-0.21381757604812202,-9.999241236826007
2880,bridge,24,2.7983613707654893,5.501347029922766,2.7029856591572763,96.59172998153119
4320,overall,8784,1.8101508734532663,1.7389703925495856,-0.07118048090368068,-3.9322954758952244
4320,normal,5688,1.5021236562950981,1.525967196259136,0.023843539964037763,1.5873220466313998
4320,holiday,264,6.884193439079818,4.575326333905481,-2.308867105174337,-33.53867269428376
4320,carnaval,48,5.746480155306772,4.631601612331623,-1.1148785429751493,-19.40106835565383
4320,day_before,264,2.3381347323182675,2.248827092664633,-0.08930763965363431,-3.819610496315818
4320,day_after,264,2.229653400983446,1.9221606030002276,-0.30749279798321827,-13.791058190819733
4320,bridge,24,2.9577179724662948,6.038878028179844,3.081160055713549,104.17355827690095
6000,overall,8784,1.8205267089012336,1.7375680709754913,-0.08295863792574232,-4.556848164881439
6000,normal,5688,1.5228455099222362,1.5293230683214203,0.006477558399184069,0.42535886647588067
6000,holiday,264,6.810565702577795,4.639223896307947,-2.1713418062698473,-31.881959606497826
6000,carnaval,48,5.770541722349528,4.219953733593846,-1.550587988755682,-26.870752580302735
6000,day_before,264,2.2706113199943223,2.197180094067134,-0.07343122592718831,-3.233984842785507
6000,day_after,264,2.248592483393402,1.9204114124795342,-0.32818107091386794,-14.594955437127602
6000,bridge,24,3.0196493222167513,5.868941333785513,2.849292011568762,94.35837435179631
7200,overall,8784,1.8252480211847137,1.7365637279645827,-0.08868429322013105,-4.858753012786106
7200,normal,5688,1.5305364179397678,1.5286263244223153,-0.0019100935174525269,-0.12479895904885917
7200,holiday,264,6.7901359621135,4.6719828009385225,-2.1181531611749778,-31.194561831950132
7200,carnaval,48,5.710260310878029,4.301892680853811,-1.4083676300242178,-24.66380783624315
7200,day_before,264,2.2698804841654705,2.1964729614031135,-0.07340752276235696,-3.2339818450549607
7200,day_after,264,2.285458627442248,1.9107357979693194,-0.3747228294729288,-16.39595768540762
7200,bridge,24,3.133484694104637,5.800361117844934,2.6668764237402973,85.10896602615547
8192,overall,8784,1.820833098692485,1.7322593518569611,-0.08857374683552388,-4.8644626956269335
8192,normal,5688,1.5295519277086405,1.525605056006608,-0.003946871702032562,-0.25804104002831796
8192,holiday,264,6.763232012372483,4.607469131642379,-2.155762880730104,-31.874743861905177
8192,carnaval,48,5.682216730862753,4.391033004706615,-1.291183726156138,-22.723239667067265
8192,day_before,264,2.2819672567890756,2.2056701196024235,-0.0762971371866521,-3.343480804102717
8192,day_after,264,2.2911590805927387,1.9044606106968294,-0.3866984698959093,-16.87785336127196
8192,bridge,24,3.020902076236713,5.565190088325314,2.5442880120886007,84.22279001039803
